t="2022-07-28T22:57:51+07:00" l=info m=request func=main.logRequest.func1 file="C:/IMS/app/backendbillingdashboard/main.go:115" body="{\"invoice_type_id\":\"1\",\n \"param\":{\"per_page\":99999}\n}" ip="127.0.0.1:56648" method=GET url=/account/root
t="2022-07-28T22:57:51+07:00" l=info m="[RECEIVED REQUEST] {\"invoice_type_id\":\"1\",\n \"param\":{\"per_page\":99999}\n}" func=billingdashboard/core.LogBodyRequest file="C:/IMS/app/backendbillingdashboard/core/transport_Global.go:106"
t="2022-07-28T22:57:51+07:00" l=info m="AccouuntService.ListRootAccount Request : {ListAccountID:[] AccountID: Name: Status: CompanyID: AccountType: BillingType: Desc: Address1: Address2: City: Phone: ContactPerson: ContactPersonPhone: LastUpdateUsername: InvoiceTypeID:1 Param:{LastID: PerPage:99999 Page:0 OrderBy: OrderDir:}}" func=billingdashboard/modules/account/services.ListRootAccount file="C:/IMS/app/backendbillingdashboard/modules/account/services/Account_service.go:147"
t="2022-07-28T22:57:51+07:00" l=info m=Test func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:163"
t="2022-07-28T22:57:57+07:00" l=info m=JumlahRootParent-64 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:220"
t="2022-07-28T22:57:57+07:00" l=info m=JumlahServerAccount-64 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:221"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI1-0 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:223"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-0 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI1-1 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:223"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-0 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-1 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI1-2 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:223"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-0 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-1 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-2 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI1-3 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:223"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-0 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-1 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-2 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-3 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI1-4 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:223"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-0 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-1 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-2 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-3 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-4 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI1-5 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:223"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-0 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-1 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-2 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-3 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-4 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-5 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI1-6 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:223"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-0 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-1 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-2 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-3 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-4 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-5 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-6 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI1-7 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:223"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-0 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-1 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-2 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-3 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
t="2022-07-28T22:57:57+07:00" l=info m=LihatI2-4 func=billingdashboard/modules/account/models.GetRootAccountFromRequest file="C:/IMS/app/backendbillingdashboard/modules/account/models/AccountCRUD_model.go:226"
